管理番号,サービス,拠点,事象,原因,開始日時,終了日時,ステータス
#111111,NOS,沖縄支店,ALERT,サーバーメンテナンス,2021/9/3,2021/9/13,完了
#222222,NOS,アメリカ支店,ALERT,サーバーメンテナンス,2021/9/4,2021/9/14,完了
#111111,NOS,フィリピン支店,ALERT,SW再起動影響,2021/9/5,2021/9/15,完了
#222222,NOS,中国支店,Maintanance,緊急メンテンス,2021/9/6,2021/9/16,完了
#333333,NOS,韓国支店,Work,回線切り替え,2021/9/7,2021/9/17,完了
#444444,NOS,インドネシア支店,ALERT,突発停電,2021/9/8,2021/9/18,完了
#777777,NOS,マレーシア支店,ALERT,サーバーメンテナンス,2021/9/9,2021/9/19,完了
#222222,NOS,南港センター,Maintanance,緊急メンテンス,2021/9/10,2021/9/20,完了
#333333,NOS,三鷹DC,Work,回線切り替え,2021/9/11,2021/9/21,完了
#222222,NOS,エクイニクスDC,Maintanance,緊急メンテンス,2021/9/12,2021/9/22,完了
#222222,NOS,沖縄支店,Maintanance,緊急メンテンス,2021/9/13,2021/9/23,完了
#333333,NOS,アメリカ支店,Work,回線切り替え,2021/9/14,2021/9/24,完了
#222222,NOS,フィリピン支店,Maintanance,緊急メンテンス,2021/9/15,2021/9/25,完了
